City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2022773,Khandyga,100,RU,1601532618,67,62.67,135.6,41.43,3.6
3423146,Ilulissat,9,GL,1601532619,57,69.22,-51.1,19.4,10.29
3932145,Pisco,20,PE,1601532620,82,-13.7,-76.22,62.6,13.87
1502073,Krasnosel'kup,99,RU,1601532620,72,65.7,82.47,39.88,9.13
3573374,The Valley,40,AI,1601532621,88,18.22,-63.06,81.0,10.29
1003764,Frankfort,65,ZA,1601532621,80,-27.27,28.48,58.48,12.21
2122614,Ekhabi,60,RU,1601532621,64,53.51,142.97,51.96,8.1
5654391,Glendive,1,US,1601532622,60,47.11,-104.71,39.2,5.82
3668605,Santa Marta,100,CO,1601532622,81,11.24,-74.2,80.01,2.17
1714733,Dingle,82,PH,1601532623,75,11.0,122.67,86.97,7.87
1047660,Cuamba,0,MZ,1601532391,42,-14.8,36.54,80.55,5.84
1280037,Shache,96,CN,1601532623,23,38.42,77.24,69.6,12.44
542184,Krasnovishersk,93,RU,1601532624,83,60.41,57.08,50.9,3.36
6096551,Pangnirtung,0,CA,1601532624,86,66.15,-65.71,24.6,8.21
1651810,Airai,63,TL,1601532625,44,-8.93,125.41,77.97,7.52
3572189,High Rock,3,BS,1601532625,71,26.62,-78.28,82.89,3.36
2126785,Belaya Gora,0,RU,1601532625,66,68.53,146.42,38.98,9.62
726050,Varna,75,BG,1601532626,71,43.22,27.92,60.01,1.12
2174444,Bowen,3,AU,1601532626,34,-20.02,148.23,82.4,13.87
2467368,Sajanan,40,TN,1601532626,93,37.06,9.24,62.6,3.36
3175096,Laas,40,IT,1601532627,87,46.62,10.7,53.6,1.12
1242110,Kalmunai,79,LK,1601532627,50,7.42,81.82,88.47,0.49
1788852,Xining,52,CN,1601532627,43,36.62,101.77,60.64,5.41
86049,Jalu,70,LY,1601532628,61,29.03,21.55,74.14,9.98
2170581,Coolum Beach,22,AU,1601532628,68,-26.53,153.1,73.99,8.99
780687,Berlevåg,75,NO,1601532628,87,70.86,29.09,51.8,10.29
1180729,Dalbandin,0,PK,1601532629,16,28.89,64.41,79.43,9.71
2120048,Ust-Nera,65,RU,1601532629,69,64.57,143.2,35.8,3.94
2012530,Zhigansk,89,RU,1601532630,86,66.77,123.37,33.58,4.18
3665202,Aripuanã,87,BR,1601532630,92,-9.17,-60.63,72.5,1.74
1729564,Bacolod City,98,PH,1601532631,75,10.67,122.95,85.62,8.57
1142226,Dawlatabad,0,AF,1601532631,33,36.41,64.91,67.44,6.26
775986,Bielsk Podlaski,100,PL,1601532631,77,52.77,23.19,55.0,1.99
1337618,Manadhoo,37,MV,1601532632,74,5.77,73.38,81.82,12.5
2347758,Bara,90,NG,1601532632,94,10.37,10.73,72.55,4.47
1539209,Gubkinskiy,99,RU,1601532632,89,64.43,76.5,44.51,5.32
1529376,Korla,100,CN,1601532633,26,41.76,86.15,62.35,6.58
601551,Akdepe,0,TM,1601532633,27,42.06,59.38,60.8,4.7
5563839,Fortuna,90,US,1601532634,100,40.6,-124.16,55.99,5.14
2177069,Ballina,56,AU,1601532634,60,-28.87,153.57,75.2,14.99
6050066,La Ronge,90,CA,1601532634,80,55.1,-105.28,41.0,4.7
1489499,Togur,94,RU,1601532635,69,58.36,82.83,42.35,4.99
2181625,Te Anau,82,NZ,1601532636,80,-45.42,167.72,45.91,5.01
3651251,Saquisilí,38,EC,1601532636,79,-0.83,-78.67,47.07,6.96
6696258,Campbellton,0,CA,1601532636,81,48.01,-66.67,51.49,7.31
3563609,Condado,75,CU,1601532637,94,21.88,-79.84,73.4,1.12
286245,Sur,0,OM,1601532637,40,22.57,59.53,90.21,6.46
535839,Leshukonskoye,100,RU,1601532637,88,64.9,45.76,49.26,5.37
1516589,Zhezkazgan,99,KZ,1601532638,23,47.8,67.71,50.0,13.42
3910901,Mairana,2,BO,1601532638,91,-18.12,-63.93,55.69,3.85
1626542,Sorong,100,ID,1601532438,72,-0.88,131.25,85.64,11.07
1263780,Mangalore,75,IN,1601532639,70,12.87,74.88,84.2,9.17
3671387,Puerto Nariño,75,CO,1601532639,100,-3.77,-70.38,69.8,2.55
305681,Kumluca,0,TR,1601532640,49,36.37,30.29,76.84,0.85
2127060,Arman',2,RU,1601532640,63,59.7,150.17,52.14,1.66
